Club Name,Description,categories
AEROX CLUB,"The Computation Club is a vibrant student organization in Chandigarh University's Department of Aerospace Engineering. Under the motto ""Transforming Resources into Skills,"" the club has developed into a hub for cutting-edge computational research, innovation, and interdisciplinary collaboration. We organize events such as CFD workshop, radar and drone workshop, flight simulation workshop and related competitions, case study-based competition, design hackathons, and so on.",Computational Fluid Dynamics(CFD) radar and drone workshopflight simulation workshop and related competitionscase study-based competitiondesign hackathonsand so on.
ARTIFICIAL-INTELLIGENCE CLUB,"The Artificial Intelligence CU Club is a vibrant club of learners and innovators passionate about Artificial Intelligence, Machine Learning, and Data Science. Through expert sessions, hands-on workshops, real-world projects, and competitions, we aim to bridge the gap between academic learning and practical application while fostering growth, collaboration, and creativity.",Artificial IntelligenceMachine LearningData ScienceInnovationHands-on LearningReal-world ProjectsTech CompetitionsAI DeploymentStudent-led InitiativesFuture TechnologiesPeer Learning
ARVR CLUB,"Welcome to the AR/VR Club! 🌐🤖🎮 A hub for curious minds and tech lovers exploring Artificial Intelligence, Machine Learning, and Virtual &amp; Augmented Reality. ✨ Here, creativity meets technology—whether it’s building immersive VR worlds, experimenting with AI, or sparking bold new ideas. 💡 Join us to learn, create, and innovate together! 🚀",Hands-on workshopCoding competitionTechTalk SeriesTech Quiz ShowUI/UX Design Contest
ASCENTIA CLUB,"Where Words Find Wings! Step into a lively space that satisfies your all literary desires and unleashes the power of words. We give wings to creative and bold ideas, through poetry, storytelling, debates and public speaking. Doesn't matter if you're just starting out or are seasoned, every voice counts in our welcoming community. From workshops, open mics, contests, and many public speaking events; we encourage creativity while inspiring collaboration. If diving into a good book is your idea of bliss, you'll feel right at home in Bibliosmia, our lively community of book lovers. At Ascentia, friendships flourish, words become bridges and you are free to be who you really are. Come, join us and be part of a world, where even sky is not the limit and stories come to life.",Book ReviewsCommunication SkillsConfidence BuildingCreative ExpressionCreative WritingCritical ThinkingDebateElocutionLiterary DiscussionsMagazineOpen MicPoetryPublic SpeakingPublishingSpoken WordStorytellingWriting
ASTRONAUTICS CLUB,"Astronautics Club is the official college-level technical club dedicated to space technology, rocketry, and satellite systems. The club focuses on hands-on learning, propulsion systems, CubeSat development, mission design, and space research fundamentals. Through workshops, technical sessions, rocket design projects, satellite simulations, and research-driven activities, the club aims to build strong foundations in orbital mechanics, launch vehicle systems, avionics for space applications, structural design, and space mission planning.",Rocket PropulsionLaunch Vehicle DesignSatellite SystemsCubeSat DevelopmentSpace Mission PlanningAvionics & Guidance SystemsOrbital MechanicsSpace RoboticsResearch & InnovationStudent Competitions
ASTRONOMY CLUB,"Welcome to the Astronomy Club, a vibrant and enthusiastic community driven by the passion of Chandigarh University students! Join us as we explore the wonders of the universe, share knowledge, and ignite our curiosity about the cosmos together. Here, we learn, teach, and explore, diversifying the frontiers of our imagination and turning them into reality while forming new concepts. This includes exploration, discoveries, research, analysis, as well as fun and games.",Observational AstronomyTelescope HandlingSpace ScienceResearch and DevelopmentTechnologyInnovationLeadershipOutreach
BROKEN CONSOLE CLUB,"Broken Console is a dynamic and innovative tech club that brings together enthusiasts passionate about gaming, technology, and creative problem-solving. Our mission is to explore the realms of game development, software innovation, and tech projects that push the boundaries of imagination.",Game DevelopmentGame DesignGame ArtProgrammingStorytellingGame Audio3D ModelingUI/UXGame JamsWorkshops
C SQUARE CLUB,C Square: Our EthosRule #1: No fluff. We speak in code. 👾💻✨Rule #2: We provide the Duty Leave. You deliver the code. 🏖️➡️⚡👨‍💻Rule #3: From LeetCode logic to live production. 🧩🛠️🚀Rule #4: Chug Caffeine and Code. ☕🔥💀Let’s grind to the moon and back. 🌙🚀💫,Programming ChallengesSoftware DevelopmentCompetitive CodingHackathonsTech TalksOpen SourceProject BuildingDeveloper CommunityCareer Growth
CAMPUS-TO-CORPORATE CLUB,"The Campus to Corporate (C2C) Club at Chandigarh University is designed to equip students from the very first year with the skills, mindset, and awareness needed to thrive in the corporate world. Our goal is to help students understand what companies actually expect, bridge the academic-industry gap, and provide hands-on exposure through soft skills sessions, company-specific training, resume and LinkedIn building, mock interviews, and more — well before they enter placement years.",Corporate Skill DevelopmentCommunication & Soft SkillsIndustry ReadinessResume & LinkedIn BuildingAptitude & Interview PrepProfessional Networking
CLOUDSTACK CLUB,"A student society, student association, university society, student club, university club, or student organization is a society or an organization, operated by students at a university, college, or other educational institution, whose membership typically consists only of students",DebatePublic SpeakingWriting and EditingLeadershipCreative Expression
CU PLAYNATION CLUB,"PlayNation is Chandigarh University’s official Esports and Gaming Club, built for students who live and breathe competitive gaming. From high-stakes tournaments and LAN battles to inter-college leagues and campus showdowns, PlayNation is where strategy, skill, and teamwork come to life. More than just a club - it’s a platform to grow as players, leaders, and future professionals in the ever-evolving world of Esports.",EsportsGamingContent CreationEvent ManagementOnline CompetitionsTeam-Based Activities.
CYSECSPHERE CLUB,"Welcome to Cysecsphere Club CU - Chandigarh University's Core Cybersecurity Community. We're a student-led initiative exploring the frontlines of cybersecurity through hands-on CTFs, workshops, research, and red vs. blue team activities. Whether you're into ethical hacking, cryptography, or threat intel, this is where curiosity meets real-world skill-building.",Ethical HackingCapture the FlagRed TeamingCryptographyMalware AnalysisOSINTSecure CodingDigital ForensicsThreat HuntingCybersecurity Research
DROIDLINX CLUB,"DroidLinX is the official Android development and coding club driven by a passion to build, innovate, and empower. Whether you're a curious beginner or a passionate coder, DroidLinX offers a dynamic community where ideas turn into real-world solutions. From app development to algorithm battles, we connect minds through tech. We don’t just code — we create.",Hands-On WorkshopsBootcampsCoding WorkshopsCoding CompetitionsAppathonsHackathonsExpert TalksTech Treasure HuntsProject Expos etc.
ECO GENESIS CLUB,"The Eco Fusion Club aims to merge environment and technology to promote sustainable, eco-friendly practices on campus and beyond. It seeks to foster environmental awareness among students by integrating innovation with conservation in activities like tree plantations, clean‑ups, recycling drives, workshops, and tech‑enabled green projects.",DebatePublic SpeakingWriting and EditingLeadershipCreative Expressionworkshops.
FINVERSE CLUB,"Finverse Club is Chandigarh University's official student led financial club under the department of MBA in Banking &amp; Financial Engineering. Our mission is simple: Make finance practical, exciting, and real for students. Whether you are passionate about the stock market, curious about how banks operate, or want to explore financial technology, Finverse gives you the platform to learn, build skills, and connect with industry leaders.",Financial Literacy & AwarenessInvestments & Stock MarketBanking& FintechWorkshopsEventsAI & Finance
FPF CLUB,"Future Prep Forum (FPF) is a student-led club dedicated to preparing students for the future of work. We focus on building industry-relevant technical skills, offering accessible certifications, and driving innovation through hands-on hackathons and workshops.By bridging academia and industry, FPF creates meaningful opportunities for learning, collaboration, and career growth—empowering students to thrive in an ever-evolving professional landscape.",Skill EmpowermentCareer AdvancementInnovation & HackathonsIndustry-Academia CollaborationEmerging Tech ForumsCommunity & OutreachTech Bootcamps & WorkshopsCertifications & Training ProgramsResearch & Development InitiativesAI & Data Science ChallengesTech Summits & Expert TalksProduct Development & PrototypingInternships & Placement SupportOpen-Source Contribution DrivesEntrepreneurship & Startup IncubationMentorship & Peer Learning ProgramsSocial Impact Tech ProjectsCybersecurity Awareness & WorkshopsTech Trend Updates & News ForumsGamified Learning Events
IGNITE YOUTH CLUB,"Ignite Youth Club is a dynamic and inclusive platform dedicated to empowering youth through holistic development. Our mission is to nurture leadership, creativity, and social responsibility by engaging students in impactful activities, community initiatives, and skill-building opportunities. We believe that empowered youth are the driving force of positive change, and through collaboration and innovation, we strive to inspire tomorrow’s leaders today.",LeadershipCommunity ServiceCultural EventsAwareness CampaignsSportsSkill DevelopmentEducationSocial ImpactVolunteeringYouth EmpowermentTeam Building
MARKETING BRIGADE CLUB,"Marketing Brigade is Chandigarh University's official club under the department of MBA- Digital marketing, dedicated to empowering students with hands-on knowledge and experience in the fields of marketing, branding, and digital communication.Our mission is to foster awareness and skill-building in marketing and branding through dynamic initiatives such as workshops, branding booths, influencer-led events, competitions, and full-scale social media campaigns. A full fledged ecosystem dedicated to mastering every vertical of digital marketing.",Digital Marketing and TransformationEntrepreneurship WorkshopsBranding and Influencer Events & WorkshopsSocial Media MarketingTech Tools and Creative Contests
RAMANUJAN CLUB,"The Ramanujan Club is a mathematics club that aims to make mathematics fun, interesting, and interactive rather than boring and limited to classrooms. We organize activities like math quizzes, puzzle solving sessions, treasure hunts, workshops, competitions, and interactive events that show the fun and creative side of mathematics. Our goal is to develop logical thinking, problem solving skills, and curiosity among students. Anyone can join the club — you do not have to be a mathematics expert. If you enjoy puzzles, games, challenges, or want to explore mathematics in a fun way beyond the textbooks.",MathematicsCreativityBrainstormingLearningSkills
