Club Name,Club Category,Tags/Sub-Categories
AEROMODELLING CLUB,TECHNICAL,"Aeronautics, UAV Design, Robotics, Aerospace Engineering, Innovation"
AEROX CLUB,TECHNICAL,"Drones, Drone Technologies, Drone Piloting, Drone Designing"
ASCENTIA CLUB,COMMUNICATION &amp; MEDIA,"Book Reviews,Communication Skills,Confidence Building,Creative Expression,Creative Writing,Critical Thinking,Debate,Elocution,Literary Discussions,Magazine,Open Mic,Poetry,Public Speaking,Publishing,Spoken Word,Storytelling,Writing"
ASTRONAUTICS CLUB,TECHNICAL,"Rocket Propulsion,Launch Vehicle Design,Satellite Systems,Cube,Sat Development,Space Mission Planning,Avionics &amp; Guidance Systems,Orbital Mechanics,Space Robotics,Research &amp; Innovation,Student Competitions"
ASTRONOMY CLUB,TECHNICAL,"Observational Astronomy,Telescope Handling,Space Science,Research and Development,Technology,Innovation,Leadership,Outreach"
BIOSPHERE CLUB,SOCIAL IMPACT,"Sustainability, Environment, Climate Action, Green Initiatives, Social Awareness"
BIZLYTICS CLUB,TECHNICAL,"Debate,Public Speaking,Writing and Editing,Leadership,Creative Expression"
BROKEN CONSOLE CLUB,TECHNICAL,"Game Development,Game Design,Game Art,Programming,Storytelling,Game Audio3D Modeling,UI/UXGame Jams,Workshops"
C SQUARE CLUB,TECHNICAL,"Programming Challenges,Software Development,Competitive Coding,Hackathons,Tech Talks,Open Source,Project Building,Developer Community,Career Growth"
CAMPUS-TO-CORPORATE CLUB,BUISNESS &amp; CAREERS,"Corporate Skill Development,Communication &amp; Soft Skills,Industry Readiness,Resume &amp; Linked,In Building,Aptitude &amp; Interview Prep,Professional Networking"
CLOUDSTACK CLUB,TECHNICAL,"Debate,Public Speaking,Writing and Editing,Leadership,Creative Expression"
COGNIX CLUB,TECHNICAL,"Artificial Intelligence, Machine Learning, Cognitive Computing"
CU PLAYNATION CLUB,TECHNICAL,"Esports, Gaming, Content Creation, Event Management, Online Competitions, Team-Based Activities"
CYSECSPHERE CLUB,TECHNICAL,"Ethical Hacking,Capture the Flag,Red Teaming,Cryptography,Malware Analysis,OSINTSecure Coding,Digital Forensics,Threat Hunting,Cybersecurity Research"
DROIDLINX CLUB,TECHNICAL,"Android Development, Mobile Innovation, Coding"
ECO GENESIS CLUB,SOCIAL IMPACT,"Debate,Public Speaking,Writing and Editing,Leadership,Creative Expressionworkshops."
ENTREPRENEURSHIP CLUB,DESIGN THINKING AND INNOVATION,"Debate,Public Speaking,Writing and Editing,Leadership,Creative Expression,Stratergy Building,Management"
FINVERSE CLUB,BUISNESS &amp; CAREERS,"Financial Literacy &amp; Awareness,Investments &amp; Stock Market,Banking&amp; Fintech,Workshops,Events,AI &amp; Finance"
FPF CLUB,TECHNICAL,"Skill Empowerment,Career Advancement,Innovation &amp; Hackathons,Industry-Academia Collaboration,Emerging Tech Forums,Community &amp; Outreach,Tech Bootcamps &amp; Workshops,Certifications &amp; Training Programs,Research &amp; Development Initiatives,AI &amp; Data Science Challenges,Tech Summits &amp; Expert Talks,Product Development &amp; Prototyping,Internships &amp; Placement Support,Open-Source Contribution Drives,Entrepreneurship &amp; Startup Incubation,Mentorship &amp; Peer Learning Programs,Social Impact Tech Projects,Cybersecurity Awareness &amp; Workshops,Tech Trend Updates &amp; News Forums,Gamified Learning Events"
HOTEL MANAGEMENT CLUB,BUISNESS &amp; CAREERS,"Hospitality, Tourism, Event Management, Culinary Arts, Professional Development"
IGNITE YOUTH CLUB,LAW &amp; ETHICS,"Leadership,Community Service,Cultural Events,Awareness Campaigns,Sports,Skill Development,Education,Social Impact,Volunteering,Youth Empowerment,Team Building"
KALAVERSE CLUB,ARTS &amp; CREATIVITY,"Filmmaking &amp; Cinematography,Content Creation &amp; Social Media,Photography &amp; Editing,Branding &amp; Digital Marketing,Creative Storytelling &amp; Design"
MARKETING BRIGADE CLUB,BUISNESS &amp; CAREERS,"Digital Marketing and Transformation,Entrepreneurship Workshops,Branding and Influencer Events &amp; Workshops,Social Media Marketing,Tech Tools and Creative Contests"
NANOVERSE CLUB,TECHNICAL,"Nanotechnology, Quantum Computing, Research, Advanced Technology, Innovation"
NEXASOUL CLUB,TECHNICAL,"Frontend Development, UI/UX Design, Web Application Development, Hackathons &amp; Innovation, Industry-Oriented Learning"
PROTOSTART CLUB,DESIGN THINKING AND INNOVATION,"Innovation,Entrepreneurship,Startups,Leadership,Mentorship,Networking,Workshops,Competitions,Creativity,Skill Development"
RAMANUJAN CLUB,TECHNICAL,"Mathematics,Creativity,Brainstorming,Learning,Skills"
ROBOX CLUB,TECHNICAL,"Electronics &amp; Embedded Systems,Programming &amp; Automation,Drone &amp; Aerial Robotics,Robotics Competitions &amp; Hackathons,Research &amp; Innovation,Workshops &amp; Mentorship,Community Projects &amp; Outreach,Leadership,Creative Expression"
SCI-FI INNOVATION CLUB,DESIGN THINKING AND INNOVATION,"Innovation,Research &amp; Development,Intellectual Property Rights,Tech Awareness,Creative Thinking,Leadership,Hackathon,Ideathon,Patent-A-Thon"
SOCRATIC-CIRCLE CLUB,COMMUNICATION &amp; MEDIA,"Debate,Public Speaking,Writing and Editing,Leadership,Creative Expression,Student Summit,MUNCommunication,Knowledge and Learning"
TECH TATVA CLUB,TECHNICAL,"Artificial Intelligence,Machine Learning,Indian Knowledge Systems,Data Science,Product Management,Open Source,Hackathons,Innovation,Research,Computer Vision,Natural Language Processing,Entrepreneurship,Project Incubation,Generative AIPrompt Engineering,Workshops,Mentorship,Career Development,Cross-Department Collaboration"
THE VOYAGE CLUB,ARTS &amp; CREATIVITY,"Debate,Public Speaking,Writing and Editing,Leadership,Creative Expression"
TOKENTITAN CLUB,TECHNICAL,"Blockchain, Cryptocurrency, Web3, Decentralized Apps"
TOURISM CLUB,SOCIAL IMPACT,"Sustainable Tourism, Cultural Exchange, Field Visits"
UPCYCLE CU,ARTS & CREATIVITY,"Sustainability, Recycling, Environment, Eco-Friendly, Waste Management"
VISION VELOCITY CLUB,TECHNICAL,"Motorsports Engineering, Formula Bharat, Vehicle Design & Optimization, Mechanical Innovation, Practical Engineering"
VIRTUONIX CLUB,TECHNICAL,Hands-on workshopCoding competitionTechTalk SeriesTech Quiz ShowUI/UX Design Contest
