Club Name,Description
AEROMODELLING CLUB,"Focuses on aircraft design, drone technology, and aeronautical engineering."
AEROX CLUB,"Focuses on aeronautics, aircraft technologies, and aerospace innovations."
ASCENTIA CLUB,A personality and leadership development club for aspiring business professionals.
ASTRONAUTICS CLUB,"Dedicated to astronautics, space missions, rocket science, and advanced aerospace exploration."
ASTRONOMY CLUB,"A club for students passionate about space science, celestial observations, astrophysics, and astronomy-related activities."
BIOSPHERE CLUB,"Dedicated to environmental conservation, climate action, and sustainable development."
BIZLYTICS CLUB,A business analytics and data insights club combining technology with strategic decision-making.
BROKEN CONSOLE CLUB,"Dedicated to game design, development, animation, and interactive entertainment technologies."
C SQUARE CLUB,A collaborative coding and computing community promoting technical excellence and innovation.
CAMPUS-TO-CORPORATE CLUB,"Helps students prepare for corporate life through soft skills, aptitude, and interview training."
CLOUDSTACK CLUB,"Focuses on cloud computing, DevOps, virtualization, and modern infrastructure technologies."
COGNIX CLUB,"Explores cognitive computing, AI applications, and intelligent systems development."
CU PLAYNATION CLUB,A gaming and e-sports community organizing tournaments and interactive gaming events.
CYSECSPHERE CLUB,"A cybersecurity-focused club promoting ethical hacking, digital safety, and cyber awareness."
DROIDLINX CLUB,"Dedicated to Android development, mobile app innovation, and smart device technologies."
ECO GENESIS CLUB,"Promotes environmental sustainability, eco-friendly practices, and green innovation initiatives."
ENTREPRENEURSHIP CLUB,"Encourages startup culture, business innovation, and entrepreneurial mindset development."
FINVERSE CLUB,"Dedicated to finance, investment strategies, stock markets, and business analytics learning."
FPF CLUB,"A technical club focused on programming fundamentals, coding practices, and project development."
HOTEL MANAGEMENT CLUB,"Explores the world of hospitality, tourism, food service, and event management."
IGNITE YOUTH CLUB,"Motivates students through leadership, creativity, innovation, and youth empowerment activities."
MARKETING BRIGADE CLUB,"Helps students develop branding, digital marketing, and business promotion skills."
NANOVERSE CLUB,"Focuses on nanotechnology, quantum computing, and scientific innovation."
NEXASOUL CLUB,"A frontend development club focused on building industry-ready engineers through real-world projects and modern web technologies."
PROTOSTART CLUB,"Supports prototype development, startup ideation, and innovative tech solutions."
RAMANUJAN CLUB,"A mathematics-focused club promoting problem-solving, analytical thinking, and logical reasoning."
ROBOX CLUB,"Focuses on robotics engineering, hardware prototyping, and automation projects."
SCI-FI INNOVATION CLUB,"Encourages futuristic thinking, innovation, and science-fiction-inspired technology ideas."
SOCRATIC-CIRCLE CLUB,"Encourages philosophical discussions, debates, critical thinking, and intellectual conversations."
TECH TATVA CLUB,"A technology-driven club organizing coding events, workshops, and technical competitions."
THE VOYAGE CLUB,"Encourages exploration, teamwork, adventure activities, and experiential learning."
TOKENTITAN CLUB,"Focuses on blockchain technology, cryptocurrency, Web3 development, and decentralized applications."
TOURISM CLUB,"Promotes tourism awareness, cultural exchange, and sustainable travel education."
UPCYCLE CU,"Dedicated to promoting sustainability, recycling, and environmental awareness."
VISION VELOCITY CLUB,"Vision Velocity Club is a dynamic student community under the Mechanical domain, focused on innovation, motorsports engineering, and participation in Formula Bharat."
VIRTUONIX CLUB,Dedicated to Augmented Reality and Virtual Reality technologies and immersive experiences.
YOUNG ORATORS CLUB,"Develops public speaking, debating, communication, and presentation skills among students."
