Logo Link,Club Name,Club Description,Club Category,Club Categories
https://cuchd-in-daa-page.vercel.app/logos/1779414104283_AEROMODELLING.webp,AEROMODELLING CLUB,"The Aeromodelling Club is a hub for aviation enthusiasts passionate about aircraft design, drone technology, UAV systems, and aeronautical engineering. The club encourages students to learn practical skills in model aircraft building, flight simulation, robotics integration, and aerospace innovation through workshops, competitions, and hands-on projects.",Science, Technology & Innovation,"Aeronautics, UAV Design, Robotics, Aerospace Engineering, Innovation"
https://cuchd-in-daa-page.vercel.app/logos/AEROX%20CLUB.png,AEROX CLUB,"The AEROX CLUB is a premier student organization at Chandigarh University dedicated to the advancement of aeronautics and drone technology. The club provides a platform for aspiring engineers to engage in hands-on projects, workshops, and research in drone technologies, avionics and aircraft technologies. From assembling and piloting drones to participating in national competitions, AEROX CLUB fosters innovation and technical excellence in the aerospace domain.",Science, Technology & Innovation,"Drones, Drone Technologies, Drone Piloting, Drone Designing"
https://cuchd-in-daa-page.vercel.app/logos/1779414425476_ASCENTIA_CLUB.webp,ASCENTIA CLUB,"Where Words Find Wings! Step into a lively space that satisfies your all literary desires and unleashes the power of words. We give wings to creative and bold ideas, through poetry, storytelling, debates and public speaking. Doesn't matter if you're just starting out or are seasoned, every voice counts in our welcoming community. From workshops, open mics, contests, and many public speaking events; we encourage creativity while inspiring collaboration. If diving into a good book is your idea of bliss, you'll feel right at home in Bibliosmia, our lively community of book lovers. At Ascentia, friendships flourish, words become bridges and you are free to be who you really are. Come, join us and be part of a world, where even sky is not the limit and stories come to life.",Media, Culture & Communication,"Book Reviews, Communication Skills, Confidence Building, Creative Expression, Creative Writing, Critical Thinking, Debate, Elocution, Literary Discussions, Magazine, Open Mic, Poetry, Public Speaking, Publishing, Spoken Word, Storytelling, Writing"
https://cuchd-in-daa-page.vercel.app/logos/ASTRONAUTICS%20CLUB.webp,ASTRONAUTICS CLUB,"Astronautics Club is the official college-level technical club dedicated to space technology, rocketry, and satellite systems. The club focuses on hands-on learning, propulsion systems, CubeSat development, mission design, and space research fundamentals. Through workshops, technical sessions, rocket design projects, satellite simulations, and research-driven activities, the club aims to build strong foundations in orbital mechanics, launch vehicle systems, avionics for space applications, structural design, and space mission planning.",Science, Technology & Innovation,"Rocket Propulsion, Launch Vehicle Design, Satellite Systems, Cube, Sat Development, Space Mission Planning, Avionics & Guidance Systems, Orbital Mechanics, Space Robotics, Research & Innovation, Student Competitions"
https://cuchd-in-daa-page.vercel.app/logos/ASTRONOMY%20CLUB.webp,ASTRONOMY CLUB,"Welcome to the Astronomy Club, a vibrant and enthusiastic community driven by the passion of Chandigarh University students! Join us as we explore the wonders of the universe, share knowledge, and ignite our curiosity about the cosmos together. Here, we learn, teach, and explore, diversifying the frontiers of our imagination and turning them into reality while forming new concepts. This includes exploration, discoveries, research, analysis, as well as fun and games.",Science, Technology & Innovation,"Observational Astronomy, Telescope Handling, Space Science, Research and Development, Technology, Innovation, Leadership, Outreach"
https://cuchd-in-daa-page.vercel.app/logos/1779414510602_BIOSPHERE.webp,BIOSPHERE CLUB,"The Biosphere Club is dedicated to creating awareness about environmental conservation, climate action, and sustainable development. Through plantation drives, cleanliness campaigns, eco-projects, sustainability workshops, and awareness programs, the club inspires students to contribute towards building a greener and healthier planet.",Social Impact & Community Development & Community Development,"Sustainability, Environment, Climate Action, Green Initiatives, Social Awareness"
https://cuchd-in-daa-page.vercel.app/logos/BIZLYTICS.webp,BIZLYTICS CLUB,"A student society, student association, university society, student club, university club, or student organization is a society or an organization, operated by students at a university, college, or other educational institution, whose membership typically consists only of students",Science, Technology & Innovation,"Debate, Public Speaking, Writing and Editing, Leadership, Creative Expression"
https://cuchd-in-daa-page.vercel.app/logos/BROKEN%20CONSOLE%20CLUB.webp,BROKEN CONSOLE CLUB,"Broken Console is a dynamic and innovative tech club that brings together enthusiasts passionate about gaming, technology, and creative problem-solving. Our mission is to explore the realms of game development, software innovation, and tech projects that push the boundaries of imagination.",Science, Technology & Innovation,"Game Development, Game Design, Game Art, Programming, Storytelling, Game Audio3D Modeling, UI/UXGame Jams, Workshops"
https://cuchd-in-daa-page.vercel.app/logos/C%20SQUARE%20CLUB.webp,C SQUARE CLUB,"At C Square, we don’t romanticize coding — we live it. Late-night debugging sessions, caffeine-powered hackathons, LeetCode streaks hanging by a thread, and ""works on my machine"" moments are all part of the culture. Recognized as the Best Club for two consecutive years at Chandigarh University, C Square thrives on DSA battles, Competitive Programming, Open Source contributions, and real-world development. We turn curious coders into builders who can survive both contests and production servers. We bring the community, the chaos, and the Duty Leave — you bring the grind.",Science, Technology & Innovation,"Programming Challenges, Software Development, Competitive Coding, Hackathons, Tech Talks, Open Source, Project Building, Developer Community, Career Growth"
https://cuchd-in-daa-page.vercel.app/logos/CAMPUS-TO-CORPORATE%20CLUB.webp,CAMPUS-TO-CORPORATE CLUB,"The Campus to Corporate (C2C) Club at Chandigarh University is designed to equip students from the very first year with the skills, mindset, and awareness needed to thrive in the corporate world. Our goal is to help students understand what companies actually expect, bridge the academic-industry gap, and provide hands-on exposure through soft skills sessions, company-specific training, resume and LinkedIn building, mock interviews, and more  well before they enter placement years.",Business & Management,"Corporate Skill Development, Communication & Soft Skills, Industry Readiness, Resume & Linked, In Building, Aptitude & Interview Prep, Professional Networking"
